,category,news_link,news
0,political,https://en.setopati.com/political/161336,"
The proposal of Bam Dev Gautam, who has formed CPN (Unity National Campaign), to rejoin CPN-UML has got stuck.
Gautam, who seems enthusiastic after the main opposition party removed the age limit of 70 years for executive committees, had reached UML office Chyasal and met Chairman KP Sharma Oli on June 18 and expressed his wish to rejoin the party.
Gautam, who has claimed that he can help UML expand its party membership to six million, had also briefed Oli about his preliminary concept of achieving socialism with Nepali characteristics during the meeting.
But UML seems lukewarm to his proposal. “I had gone with the proposal of unification. I had cordial and open talks with Oli. He had said that we should unite, and invited me,” Gautam told Setopati. “But they have not got back to me now. They have not even called me.”
He stated that he had told Oli that he would return with party cadres and asked what role he would be given. “But he did not give solid answers. He only said I should join the party. He said that he alone could not give responsibilities and party committees should take decision. We have not had additional discussion after that.”
There were also talks about him joining the Socialist Front announced by CPN (Maoist Center), CPN (Unified Socialist), Janata Samajwadi Party (JSP) and CPN led by Netra Bikram Chand. “Nobody has come to me to talk about Socialist Front.”
Prime Minister (PM) Pushpa Kamal Dahal has been talking about reviving CPN formed after unification of Maoist Center and UML.
Gautam has also been working toward that. “I am always for unification. I have no doubts that the socialist movement would not succeed until communist parties unite. Not just UML but all including Maoist Center and Unified Socialist should, therefore, unite. These three parties should first unify and other parties should be brought along. That is my aim. I would work on that as long as I’m alive.”
UML Vice-chairman Bishnu Paudel confirmed with Setopati that Gautam’s proposal had not moved forward.
Gautam, who is currently National Assembly member having won the election on the ticket of the then CPN after losing from Bardiya in the general election of 2017 on a UML ticket, had quit UML on September 3, 2021 accusing Oli of defying constitutional supremacy and the rule of law in his resignation letter and slammed him for twice dissolving the House with utter disregard to the people's mandate.
He had also split UML in 1997 to form CPN-ML and returned back to the party four years later. He was accused of returning back to UML losing a big chunk of the party’s cadres to the Maoists who were waging an armed insurgency then.
Gautam, who was elected UML vice-chairman in the eighth and the ninth general conventions, still harbors hopes for the post of chairman.  
Many UML leaders are against him rejoining the party citing his unstable and opportunist nature, and high ambitions.
“Gautam laid groundwork for split of UML. Why bring him in UML? What can Gautam, who spent his age and energy to weaken the UML movement, do joining the party in the late stage of his life?” a UML leader fumed.
"
1,political,https://en.setopati.com/political/161336,"
The proposal of Bam Dev Gautam, who has formed CPN (Unity National Campaign), to rejoin CPN-UML has got stuck.
Gautam, who seems enthusiastic after the main opposition party removed the age limit of 70 years for executive committees, had reached UML office Chyasal and met Chairman KP Sharma Oli on June 18 and expressed his wish to rejoin the party.
Gautam, who has claimed that he can help UML expand its party membership to six million, had also briefed Oli about his preliminary concept of achieving socialism with Nepali characteristics during the meeting.
But UML seems lukewarm to his proposal. “I had gone with the proposal of unification. I had cordial and open talks with Oli. He had said that we should unite, and invited me,” Gautam told Setopati. “But they have not got back to me now. They have not even called me.”
He stated that he had told Oli that he would return with party cadres and asked what role he would be given. “But he did not give solid answers. He only said I should join the party. He said that he alone could not give responsibilities and party committees should take decision. We have not had additional discussion after that.”
There were also talks about him joining the Socialist Front announced by CPN (Maoist Center), CPN (Unified Socialist), Janata Samajwadi Party (JSP) and CPN led by Netra Bikram Chand. “Nobody has come to me to talk about Socialist Front.”
Prime Minister (PM) Pushpa Kamal Dahal has been talking about reviving CPN formed after unification of Maoist Center and UML.
Gautam has also been working toward that. “I am always for unification. I have no doubts that the socialist movement would not succeed until communist parties unite. Not just UML but all including Maoist Center and Unified Socialist should, therefore, unite. These three parties should first unify and other parties should be brought along. That is my aim. I would work on that as long as I’m alive.”
UML Vice-chairman Bishnu Paudel confirmed with Setopati that Gautam’s proposal had not moved forward.
Gautam, who is currently National Assembly member having won the election on the ticket of the then CPN after losing from Bardiya in the general election of 2017 on a UML ticket, had quit UML on September 3, 2021 accusing Oli of defying constitutional supremacy and the rule of law in his resignation letter and slammed him for twice dissolving the House with utter disregard to the people's mandate.
He had also split UML in 1997 to form CPN-ML and returned back to the party four years later. He was accused of returning back to UML losing a big chunk of the party’s cadres to the Maoists who were waging an armed insurgency then.
Gautam, who was elected UML vice-chairman in the eighth and the ninth general conventions, still harbors hopes for the post of chairman.  
Many UML leaders are against him rejoining the party citing his unstable and opportunist nature, and high ambitions.
“Gautam laid groundwork for split of UML. Why bring him in UML? What can Gautam, who spent his age and energy to weaken the UML movement, do joining the party in the late stage of his life?” a UML leader fumed.
"
2,political,https://en.setopati.com/political/161351,"
The main opposition CPN-UML has sought resignation of Prime Minister (PM) Pushpa Kamal Dahal.
UML’s parliamentary party meeting at the Singha Durbar on Wednesday has decided to seek Dahal’s resignation over his remark that Sardar Pritam Singh repeatedly went to Delhi to make him PM calling it against national sovereignty, according to UML lawmaker Thakur Gaire.  
“PM’s expression has undermined sovereignty of the parliament. This expression is lethal. We will protest in the House and demands PM’s resignation,” Gaire said.
UML Whip Mahesh Bartaula also slammed Dahal over his remark. “He remarked that Delhi made him PM. This expression of PM is an insult of parliament, and the people’s mandate. We will put that on the House,”Bartaula stated.
PM Dahal had made the remark while launching Singh’s book in Kathmandu on Monday.
"
3,political,https://en.setopati.com/political/161350,"
The Nepali Congress (NC) central committee is finally set to meet after a year.
NC President Sher Bahadur Deuba has called a central committee meeting starting July 12, according to an NC office-bearer.
A meeting of the party’s president, vice-president and general secretaries held at Deuba’s residence in Dhumbarahi, Kathmandu, on Wednesday agreed to call the central committee meeting.
During the meeting, the leaders also discussed other issues including the meeting of district presidents.
NC is scheduled to discuss the party’s general and active membership, meetings at different levels and other issues with district presidents at the central office in Sanepa on Thursday.
The party has already sent active membership forms to districts.
NC had last held its central committee meeting from July 11 to July 18, 2022. As per the party’s statute, the central committee should hold a meeting every two months. NC had been taking important decisions through the central working committee saying the central committee was big and that it was not impossible to convene a meeting immediately.
The party had not even reviewed the House of Representatives and provincial assembly elections held in November last year. Central member Madhu Acharya had also written to the party’s central office to draw its attention to call a central committee meeting.
"
4,political,https://en.setopati.com/political/161344,"
The government has extended the term of the Commission for the Investigation of Enforced Disappeared Persons and the Truth and Reconciliation Commission (TRC) till mid-January, 2024.
Government spokesperson and Minister for Communication and Information Technology Rekha Sharma said that the Cabinet meeting held on Tuesday decided to facilitate extension of the working procedure of the two commissions till mid-January.
The Cabinet meeting also decided to promote joint secretary Ghanashyam Upadhyaya to the vacant post of secretary.
 
"
5,political,https://en.setopati.com/political/161341,"
The Election Commission has prepared bill about election management in a way that the election date would be specified by the law.
It has prepared the draft of the bill in a way that a new umbrella law is formulated to replace all the existing laws related to election.
The draft bill has proposed to hold the election for president and vice-president three days before expiry of their five-year term.
Election for the House of Representatives (HoR) and provincial assemblies will be held on the first Sunday after four years and 11 months of announcement of the result of last election.
It has, however, proposed that the date for HoR election would be as per the one fixed by president if the HoR were dissolved. Provincial chief, similarly, would fix the date for election of provincial assembly if that were dissolved.
The local election will also be held on the first Sunday after four years and 11 months of announcement of the last election result.
The Election Commission has also proposed to hold election for National Assembly on the first Sunday one month before end of the term as in the case of HoR.
The Election Commission seems to have proposed Sunday as the election day considering that Saturday is public holiday in Nepal.
The Election Commission has proposed that it can set election date in consultation with the Government of Nepal if election could not be held on the stipulated date due to disasters.
Chief Election Commissioner Dinesh Thapaliya told Setopati that the Election Commission would soon submit the draft bill to the Home Ministry and the Federal Parliament.
“We have also talked with the Law Ministry and the Home Ministry. This draft has been prepared as per international practices about election,” Thapaliya said. “What kind of law will be formulated would depend on how much the political parties accept in the House.”
"
6,political,https://en.setopati.com/political/161340,"
The information, communication and publicity department of Nepali Congress has urged party members and office-bearers to not oppose the party’s policies and leadership in public.
The department has decided to urge office-bearers and members at all levels of the party organization to not make remarks at public venues opposing the party’s policies and leadership, according to a statement released by the department after its meeting held the party’s central office in Sanepa on Monday.
NC President Sher Bahadur Deuba had nominated central member Min Bahadur Bishwakarma as chief of the publicity department.
The meeting on Monday has also decided to inform the people about the good work done by the NC government, and to run the department’s own website and official social network.
Thirty-five members of the department presented their views during the meeting.
"
7,political,https://en.setopati.com/political/161339,"
The ruling coalition has decided to field Uddhav Thapa of Nepali Congress (NC) as the candidate for chief minister (CM) of Koshi.
“We have advised to bring forward provincial parliamentary party leader of Congress Uddhav Thapa on behalf of the coalition for CM of Koshi,” Acting Chairman of CPN (Unified Socialist) Rajendra Pandey said after the meeting of top coalition leaders at Baluwatar on Monday.
The CPN-UML led government fell on June 30 after Hikmat Karki failed floor test by one vote.
Provincial leaders of the coalition had then come to Kathmandu after they failed to decide who the coalition candidate for CM should be with Indra Angbo of CPN (Maoist Center) also staking claim for the post.
Karki could secure only 46 votes in the provincial assembly that has 93 lawmakers during the floor test. Forty-three lawmakers voted against CM Karki in the floor test with the only Janata Samajwadi Party (JSP) lawmaker Nirmala Limbu abstaining from voting.
Forty UML lawmakers and six lawmakers from coalition partner RPP voted in support of the Karki government. NC, CPN (Maoist Center) and Unified Socialist voted against the government.
"
8,political,https://en.setopati.com/political/161338,"
Minister for Agriculture and Livestock Development Beduram Bhusal has appointed the 40th-ranked Dhruba Raj Bhattarai as the acting executive director of Nepal Agricultural Research Council (NARC).
Bhusal has given NARC’s leadership to Bhattarai exercising his authority as the ex officio chairman of NARC.
As Bhattarai and Bhusal are both from Arghakhanchi and enjoy close relations, Bhusal has appointed Bhattarai leaving out senior directors.
Deepak Bhandari, the then executive director of NARC, went on a compulsory retirement on June 11. Bhandari had made the second-ranked Dr Dojraj Ghimire acting executive director when he retired.
Bhusal has replaced Ghimire with Bhattarai, who ranks far below.
As per the NARC regulation, a search committee first recommends the names of three candidates when appointing a new executive director. The Cabinet then appoints one of them as the executive director of NARC.
“But Minister Bhusal made a mockery of NARC’s tradition by forcibly appointing a 40th-ranked person as the acting executive director,” Dr Ram Prasad Ghimire, president of the Society of Agricultural Scientists Nepal, told Setopati. “This has vitiated the environment for scientists to join NARC.”
Bhusal appointed Bhattarai as NARC’s acting executive director on June 16. Taking exception to the appointment, NARC scientists had then gone to meet Bhusal to draw his attention to the issue.
“We had gone to draw [Bhusal’s] attention on June 19 after he brought a junior person to NARC’s leadership on June 16,” Ghimire told Setopati. “But he answered that he was a minister and exercised his authority.”
Issuing a statement, the Society of Agricultural Scientists Nepal has urged Bhusal to rectify the mistake.
But Bhusal said that Bhattarai has been made acting executive director only until the next executive director is appointed.
He claimed that people affiliated with various political parties spread unnecessary rumors on the issue after things didn’t go their way.
“The regulation has a provision that one of the directors can be made the acting executive director. The one I appointed is also a director,” Bhusal said. “This arrangement has been made only until a new executive director is appointed. After the search committee recommends three people later, the Cabinet will appoint the executive director from among them.”
It has emerged that Bhusal had made Bhattarai director only two weeks earlier for the sole purpose of appointing him as the acting executive director.
While Bhusal has already appointed Bhattarai as the acting executive director, he has yet to start the process for appointment of a new executive director.
Generally, the agriculture minister has to start the process for appointing a new executive director of NARC by forming a search committee before the post falls vacant. The search committee is headed by the Agriculture Ministry’s secretary.
“But the minister did not even form a search committee this time. And he made a person he favors the acting executive director,” Ghimire said. “Even now he hasn’t formed a search committee and started the appointment process for a new executive director.”
Bhusal said that he has not been able to start the process for appointment of NARC’s executive director as he had been busy with the budget and other issues.
He said that a new executive director will be appointed soon by forming a search committee.
"
9,political,https://en.setopati.com/political/161336,"
The proposal of Bam Dev Gautam, who has formed CPN (Unity National Campaign), to rejoin CPN-UML has got stuck.
Gautam, who seems enthusiastic after the main opposition party removed the age limit of 70 years for executive committees, had reached UML office Chyasal and met Chairman KP Sharma Oli on June 18 and expressed his wish to rejoin the party.
Gautam, who has claimed that he can help UML expand its party membership to six million, had also briefed Oli about his preliminary concept of achieving socialism with Nepali characteristics during the meeting.
But UML seems lukewarm to his proposal. “I had gone with the proposal of unification. I had cordial and open talks with Oli. He had said that we should unite, and invited me,” Gautam told Setopati. “But they have not got back to me now. They have not even called me.”
He stated that he had told Oli that he would return with party cadres and asked what role he would be given. “But he did not give solid answers. He only said I should join the party. He said that he alone could not give responsibilities and party committees should take decision. We have not had additional discussion after that.”
There were also talks about him joining the Socialist Front announced by CPN (Maoist Center), CPN (Unified Socialist), Janata Samajwadi Party (JSP) and CPN led by Netra Bikram Chand. “Nobody has come to me to talk about Socialist Front.”
Prime Minister (PM) Pushpa Kamal Dahal has been talking about reviving CPN formed after unification of Maoist Center and UML.
Gautam has also been working toward that. “I am always for unification. I have no doubts that the socialist movement would not succeed until communist parties unite. Not just UML but all including Maoist Center and Unified Socialist should, therefore, unite. These three parties should first unify and other parties should be brought along. That is my aim. I would work on that as long as I’m alive.”
UML Vice-chairman Bishnu Paudel confirmed with Setopati that Gautam’s proposal had not moved forward.
Gautam, who is currently National Assembly member having won the election on the ticket of the then CPN after losing from Bardiya in the general election of 2017 on a UML ticket, had quit UML on September 3, 2021 accusing Oli of defying constitutional supremacy and the rule of law in his resignation letter and slammed him for twice dissolving the House with utter disregard to the people's mandate.
He had also split UML in 1997 to form CPN-ML and returned back to the party four years later. He was accused of returning back to UML losing a big chunk of the party’s cadres to the Maoists who were waging an armed insurgency then.
Gautam, who was elected UML vice-chairman in the eighth and the ninth general conventions, still harbors hopes for the post of chairman.  
Many UML leaders are against him rejoining the party citing his unstable and opportunist nature, and high ambitions.
“Gautam laid groundwork for split of UML. Why bring him in UML? What can Gautam, who spent his age and energy to weaken the UML movement, do joining the party in the late stage of his life?” a UML leader fumed.
"
